연번,전체기관명,도로명주소
91,경찰청 강원도경찰청 태백경찰서 소도파출소,강원도 태백시 버들치길 태백시 버들치길 51
92,경찰청 강원도경찰청 태백경찰서 장성파출소,강원도 태백시 장성로 28
93,경찰청 강원도경찰청 태백경찰서 철암파출소,강원도 태백시 상철암길 28-6 태백경찰서 철암파출소
94,경찰청 강원도경찰청 태백경찰서 통리파출소,강원도 태백시 통리1길 112
95,경찰청 강원도경찰청 태백경찰서 황지지구대,강원도 태백시 황지로 94
96,경찰청 강원도경찰청 평창경찰서,강원도 평창군 평창읍 군청길 55
97,경찰청 강원도경찰청 평창경찰서 대관령파출소,강원도 평창군 대관령면 대관령로 대관령로 95
98,경찰청 강원도경찰청 평창경찰서 대화파출소,강원도 평창군 대화면 대화중앙로 112
99,경찰청 강원도경찰청 평창경찰서 중부지구대,강원도 평창군 봉평면 평온길 2 
100,경찰청 강원도경찰청 평창경찰서 진부파출소,강원도 평창군 진부면 청송로 103
101,경찰청 강원도경찰청 평창경찰서 평창지구대,강원도 평창군 평창읍 평창중앙로 5
102,경찰청 강원도경찰청 홍천경찰서,강원도 홍천군 홍천읍 홍천로 651
103,경찰청 강원도경찰청 홍천경찰서 남면파출소,강원도 홍천군 남면 양덕원로 86
104,경찰청 강원도경찰청 홍천경찰서 내면파출소,강원도 홍천군 내면 창촌로 65
105,경찰청 강원도경찰청 홍천경찰서 내촌파출소,강원도 홍천군 내촌면 내촌길 29
106,경찰청 강원도경찰청 홍천경찰서 두촌파출소,강원도 홍천군 두촌면 자은로 353 
107,경찰청 강원도경찰청 홍천경찰서 서면파출소,강원도 홍천군 서면 팔봉산로 555
108,경찰청 강원도경찰청 홍천경찰서 서석파출소,강원도 홍천군 서석면 구룡령로 2517 
109,경찰청 강원도경찰청 홍천경찰서 화촌파출소,강원도 홍천군 화촌면 성산로 149
110,경찰청 강원도경찰청 홍천경찰서 희망지구대,강원도 홍천군 홍천읍 진리로 31
111,경찰청 강원도경찰청 화천경찰서,강원도 화천군 화천읍 화천새싹길 33
112,경찰청 강원도경찰청 화천경찰서 간동파출소,강원도 화천군 간동면 파로호로 1144 간동파출소
113,경찰청 강원도경찰청 화천경찰서 사내파출소,강원도 화천군 사내면 포화로 1156 사내파출소
114,경찰청 강원도경찰청 화천경찰서 상서파출소,강원도 화천군 상서면 다파로 1625 상서파출소
115,경찰청 강원도경찰청 화천경찰서 하남파출소,강원도 화천군 하남면 원천새싹길 8 하남파출소  
116,경찰청 강원도경찰청 화천경찰서 하리파출소,강원도 화천군 화천읍 중앙로6길 40 하리파출소
117,경찰청 강원도경찰청 횡성경찰서,강원도 횡성군 횡성읍 어사매로 78
118,경찰청 강원도경찰청 횡성경찰서 둔내파출소,강원도 횡성군 둔내면 둔내로 33
119,경찰청 강원도경찰청 횡성경찰서 서원파출소,강원도 횡성군 서원면 서원로 143
120,경찰청 강원도경찰청 횡성경찰서 안흥파출소,강원도 횡성군 안흥면 안흥로 283-1
121,경찰청 강원도경찰청 횡성경찰서 우천파출소,강원도 횡성군 우천면 수남로 390
122,경찰청 강원도경찰청 횡성경찰서 청일파출소,강원도 횡성군 청일면 청정로 825
123,경찰청 강원도경찰청 횡성경찰서 횡성지구대,강원도 횡성군 횡성읍 횡성로 389 
124,경찰청 경기도남부경찰청,경기도 수원시 장안구 창룡대로 223
125,경찰청 경기도남부경찰청 과천경찰서,경기도 과천시 통영로 20
126,경찰청 경기도남부경찰청 과천경찰서 과천지구대,경기도 과천시 관문로 136
127,경찰청 경기도남부경찰청 과천경찰서 별양지구대,경기도 과천시 별양로 58
128,경찰청 경기도남부경찰청 광명경찰서,경기도 광명시 디지털로 5
129,경찰청 경기도남부경찰청 광명경찰서 광남지구대,경기도 광명시 광명로 772
130,경찰청 경기도남부경찰청 광명경찰서 광명지구대,경기도 광명시 오리로991번길 6
131,경찰청 경기도남부경찰청 광명경찰서 소하지구대,경기도 광명시 금하로 500
132,경찰청 경기도남부경찰청 광명경찰서 철산지구대,경기도 광명시 철산로29번길 16
133,경찰청 경기도남부경찰청 광명경찰서 하안지구대,경기도 광명시 범안로 1027
134,경찰청 경기도남부경찰청 광주경찰서,경기도 광주시 포돌이로 135
135,경찰청 경기도남부경찰청 광주경찰서 경안지구대,경기도 광주시 중앙로 137
136,경찰청 경기도남부경찰청 광주경찰서 곤지암파출소,경기도 광주시 곤지암읍 곤지암로 38
137,경찰청 경기도남부경찰청 광주경찰서 남한산성파출소,경기도 광주시 중부면 남한산성로 757
138,경찰청 경기도남부경찰청 광주경찰서 도척파출소,경기도 광주시 도척면 도척로 603
139,경찰청 경기도남부경찰청 광주경찰서 오포동부파출소,경기도 광주시 오포읍 오포로 869
140,경찰청 경기도남부경찰청 광주경찰서 오포서부파출소,경기도 광주시 오포읍 오포로 171번길 3
141,경찰청 경기도남부경찰청 광주경찰서 초월파출소,경기도 광주시 초월읍 경충대로 1243
142,경찰청 경기도남부경찰청 광주경찰서 태전파출소,경기도 광주시 태봉로 46
143,경찰청 경기도남부경찰청 광주경찰서 퇴촌파출소,경기도 광주시 퇴촌면 광동로 45
144,경찰청 경기도남부경찰청 군포경찰서,경기도 군포시 산본로324번길 16
145,경찰청 경기도남부경찰청 군포경찰서 군포지구대,경기도 군포시 군포로 511
146,경찰청 경기도남부경찰청 군포경찰서 금정파출소,경기도 군포시 군포로 683번길 31
147,경찰청 경기도남부경찰청 군포경찰서 대야파출소,경기도 군포시 대야1로 24번길 4
148,경찰청 경기도남부경찰청 군포경찰서 산본지구대,경기도 군포시 수리산로203번길 51
149,경찰청 경기도남부경찰청 군포경찰서 송부파출소,경기도 군포시 번영로 6-4
150,경찰청 경기도남부경찰청 김포경찰서,경기도 김포시 태장로 795번길 65
151,경찰청 경기도남부경찰청 김포경찰서 고촌파출소,경기도 김포시 고촌읍 신곡리 1250-1
152,경찰청 경기도남부경찰청 김포경찰서 김포터미널파출소,경기도 김포시 고촌읍 아라육로152번길 56
153,경찰청 경기도남부경찰청 김포경찰서 대곶파출소,경기도 김포시 대곶면 율생로 72
154,경찰청 경기도남부경찰청 김포경찰서 마산파출소,경기도 김포시 김포한강8로 176
155,경찰청 경기도남부경찰청 김포경찰서 사우지구대,경기도 김포시 사우중로 35-5
156,경찰청 경기도남부경찰청 김포경찰서 양촌지구대,경기도 김포시 양곡1로 68번길 3
157,경찰청 경기도남부경찰청 김포경찰서 월곶파출소,경기도 김포시 월곶면 군하로 276번길 13
158,경찰청 경기도남부경찰청 김포경찰서 장기지구대,경기도 김포시 청송로 36
159,경찰청 경기도남부경찰청 김포경찰서 통진파출소,경기도 김포시 통진읍 조강로 83
160,경찰청 경기도남부경찰청 김포경찰서 풍무파출소,경기도 김포시 풍무동 154-6
161,경찰청 경기도남부경찰청 김포경찰서 하성파출소,경기도 김포시 하성면 애기봉로 847
162,경찰청 경기도남부경찰청 부천소사경찰서,경기도 부천시 경인로 160번길 70
163,경찰청 경기도남부경찰청 부천소사경찰서 범박지구대,경기도 부천시 범안로 131
164,경찰청 경기도남부경찰청 부천소사경찰서 소사지구대,경기도 부천시 경인로 363
165,경찰청 경기도남부경찰청 부천소사경찰서 송내지구대,경기도 부천시 성주로 147
166,경찰청 경기도남부경찰청 부천오정경찰서,경기도 부천시 소사로 631
167,경찰청 경기도남부경찰청 부천오정경찰서 고강파출소,경기도 부천시 역곡로 519
168,경찰청 경기도남부경찰청 부천오정경찰서 내동지구대,경기도 부천시 신흥로 411
169,경찰청 경기도남부경찰청 부천오정경찰서 성곡파출소,경기도 부천시 삼작로352번길 42
170,경찰청 경기도남부경찰청 부천오정경찰서 원종지구대,경기도 부천시 소사로 778
171,경찰청 경기도남부경찰청 부천원미경찰서,경기도 부천시 조마루로311번길 84
172,경찰청 경기도남부경찰청 부천원미경찰서 계남지구대,경기도 부천시 조마루로 252
173,경찰청 경기도남부경찰청 부천원미경찰서 상동지구대,경기도 부천시 상일로 99
174,경찰청 경기도남부경찰청 부천원미경찰서 약대지구대,경기도 부천시 중동로 388번길 6
175,경찰청 경기도남부경찰청 부천원미경찰서 역곡지구대,경기도 부천시 부일로 711번길 29
176,경찰청 경기도남부경찰청 부천원미경찰서 원미지구대,경기도 부천시 원미로 149번길4
177,경찰청 경기도남부경찰청 부천원미경찰서 중동지구대,경기도 부천시 석천로 203-16
178,경찰청 경기도남부경찰청 부천원미경찰서 중앙지구대,경기도 부천시 장말로 337
179,경찰청 경기도남부경찰청 분당경찰서,경기도 성남시 분당구 정자일로 165
180,경찰청 경기도남부경찰청 분당경찰서 구미파출소,경기도 성남시 분당구 구미로 107
181,경찰청 경기도남부경찰청 분당경찰서 금곡지구대,경기도 성남시 분당구 성남대로 171번길 12
182,경찰청 경기도남부경찰청 분당경찰서 동판교파출소,경기도 성남시 분당구 동판교로266번길 24
183,경찰청 경기도남부경찰청 분당경찰서 서판교파출소,경기도 성남시 분당구 운중로 146번길 6
184,경찰청 경기도남부경찰청 분당경찰서 서현지구대,경기도 성남시 분당구 중앙공원로31번길 30
185,경찰청 경기도남부경찰청 분당경찰서 수내파출소,경기도 성남시 분당구 불정로253
186,경찰청 경기도남부경찰청 분당경찰서 야탑지구대,경기도 성남시 분당구 야탑로 76
187,경찰청 경기도남부경찰청 성남수정경찰서,경기도 성남시 수정구 성남대로 1259
188,경찰청 경기도남부경찰청 성남수정경찰서 고등파출소,경기도 성남시 수정구 고등공원로 47
189,경찰청 경기도남부경찰청 성남수정경찰서 단대파출소,경기도 성남시 수정구 단대로 15
190,경찰청 경기도남부경찰청 성남수정경찰서 복정파출소,경기도 성남시 수정구 복정로 36
191,경찰청 경기도남부경찰청 성남수정경찰서 산성파출소,경기도 성남시 수정구 수정남로 317
192,경찰청 경기도남부경찰청 성남수정경찰서 성남위례파출소,경기도 성남시 수정구 위례동로 135-2
193,경찰청 경기도남부경찰청 성남수정경찰서 수진1파출소,경기도 성남시 수정구 탄리로 21
194,경찰청 경기도남부경찰청 성남수정경찰서 수진지구대,경기도 성남시 수정구 모란로 1
195,경찰청 경기도남부경찰청 성남수정경찰서 신흥지구대,경기도 성남시 수정구 시민로 150
196,경찰청 경기도남부경찰청 성남수정경찰서 중앙파출소,경기도 성남시 수정구 수정로 145
197,경찰청 경기도남부경찰청 성남수정경찰서 태평4파출소,경기도 성남시 수정구 남문로 128
198,경찰청 경기도남부경찰청 성남중원경찰서,경기도 성남시 중원구 금빛로 2번길 10
199,경찰청 경기도남부경찰청 성남중원경찰서 금광지구대,경기도 성남시 중원구 광명로323번길 26
200,경찰청 경기도남부경찰청 성남중원경찰서 대원파출소,경기도 성남시 중원구 둔촌대로 439
201,경찰청 경기도남부경찰청 성남중원경찰서 도촌파출소,경기도 성남시 중원구 도촌북로 43
202,경찰청 경기도남부경찰청 성남중원경찰서 상대원2파출소,경기도 성남시 중원구 희망로 373
203,경찰청 경기도남부경찰청 성남중원경찰서 성호지구대,경기도 성남시 중원구 산성대로 190-6
204,경찰청 경기도남부경찰청 성남중원경찰서 은행파출소,경기도 성남시 중원구 은행로25번길 14
205,경찰청 경기도남부경찰청 수원남부경찰서,경기도 수원시 영통구 매봉로 52
206,경찰청 경기도남부경찰청 수원남부경찰서 곡선지구대,경기도 수원시 권선구 권중로77
207,경찰청 경기도남부경찰청 수원남부경찰서 광교지구대,경기도 수원시 영통구 에듀타운로 82
208,경찰청 경기도남부경찰청 수원남부경찰서 권선파출소,경기도 수원시 권선로 699번길 24-23
209,경찰청 경기도남부경찰청 수원남부경찰서 매탄지구대,경기도 수원시 팔달구 동수원로 403
210,경찰청 경기도남부경찰청 수원남부경찰서 산남지구대,경기도 수원시 영통구 매영로 93-18
211,경찰청 경기도남부경찰청 수원남부경찰서 세류지구대,경기도 수원시 권선구 정조로 370
212,경찰청 경기도남부경찰청 수원남부경찰서 영통지구대,경기도 수원시 영통구 청명로 92
213,경찰청 경기도남부경찰청 수원남부경찰서 인계파출소,경기도 수원시 팔달구 장다리로 312
214,경찰청 경기도남부경찰청 수원남부경찰서 태장파출소,경기도 수원시 영통구 영통로 143
215,경찰청 경기도남부경찰청 수원서부경찰서,경기도 수원시 권선구 서부로 1673
216,경찰청 경기도남부경찰청 수원서부경찰서 고등파출소,경기도 수원시 팔달구 고등동 고등로 50
217,경찰청 경기도남부경찰청 수원서부경찰서 고색파출소,경기도 수원시 권선구 매송고색로 750
218,경찰청 경기도남부경찰청 수원서부경찰서 당수파출소,경기도 수원시 권선구 당수동 당진로32번길 28-4
219,경찰청 경기도남부경찰청 수원서부경찰서 매산지구대,경기도 수원시 팔달구 덕영대로 944
220,경찰청 경기도남부경찰청 수원서부경찰서 서호지구대,경기도 수원시 권선구 구운로73번길 18-13
221,경찰청 경기도남부경찰청 수원서부경찰서 유천파출소,경기도 수원시 팔달구 매교동 매산로 116번길 50
222,경찰청 경기도남부경찰청 수원서부경찰서 호매실지구대,경기도 수원시 권선구 금곡동 금곡로 190
223,경찰청 경기도남부경찰청 수원중부경찰서,경기도 수원시 장안구 정자천로 199
224,경찰청 경기도남부경찰청 수원중부경찰서 노송지구대,경기도 수원시 장안구 이목로 58
225,경찰청 경기도남부경찰청 수원중부경찰서 동부파출소,경기도 수원시 팔달구 경수대로 621
226,경찰청 경기도남부경찰청 수원중부경찰서 율천파출소,경기도 수원시 장안구 서부로 2124
227,경찰청 경기도남부경찰청 수원중부경찰서 장안문지구대,경기도 수원시 장안구 송정로 113
228,경찰청 경기도남부경찰청 수원중부경찰서 창룡문지구대,경기도 수원시 장안구 경수대로 758
229,경찰청 경기도남부경찰청 수원중부경찰서 행궁파출소,경기도 수원시 팔달구 창룡대로 48
230,경찰청 경기도남부경찰청 수원중부경찰서 화서문지구대,경기도 수원시 팔달구 수성로182번길 3
231,경찰청 경기도남부경찰청 시흥경찰서,경기도 시흥시 황고개로 513
232,경찰청 경기도남부경찰청 시흥경찰서 군자파출소,경기도 시흥시 군자로 513
233,경찰청 경기도남부경찰청 시흥경찰서 능곡파출소,경기도 시흥시 장현능곡로 211
234,경찰청 경기도남부경찰청 시흥경찰서 대야파출소,경기도 시흥시 호현로 42
235,경찰청 경기도남부경찰청 시흥경찰서 매화파출소,경기도 시흥시 매화로 36
236,경찰청 경기도남부경찰청 시흥경찰서 목감파출소,경기도 시흥시 목감우회로 17-6
237,경찰청 경기도남부경찰청 시흥경찰서 배곧파출소,경기도 시흥시 서울대학로264번길 50
238,경찰청 경기도남부경찰청 시흥경찰서 시화파출소,경기도 시흥시 중심상가로 271
239,경찰청 경기도남부경찰청 시흥경찰서 신천파출소,경기도 시흥시 신천로 100번 안길 15
240,경찰청 경기도남부경찰청 시흥경찰서 옥구지구대,경기도 시흥시 정왕대로 118번길 1
241,경찰청 경기도남부경찰청 시흥경찰서 은행파출소,경기도 시흥시 은행로 148
242,경찰청 경기도남부경찰청 시흥경찰서 장곡지구대,경기도 시흥시 장곡로 54번길 25-14
243,경찰청 경기도남부경찰청 시흥경찰서 정왕지구대,경기도 시흥시 정왕신길로 216
244,경찰청 경기도남부경찰청 안산단원경찰서,경기도 안산시 단원구 화랑로 373
245,경찰청 경기도남부경찰청 안산단원경찰서 고잔파출소,경기도 안산시 단원구 화랑로 397
246,경찰청 경기도남부경찰청 안산단원경찰서 공단파출소,경기도 안산시 단원구 동산로 29
247,경찰청 경기도남부경찰청 안산단원경찰서 대부파출소,경기도 안산시 단원구 대부중앙로 67
248,경찰청 경기도남부경찰청 안산단원경찰서 선부2파출소,경기도 안산시 단원구 선여불로 19
249,경찰청 경기도남부경찰청 안산단원경찰서 선부3파출소,경기도 안산시 단원구 선삼로 2길 14-20
250,경찰청 경기도남부경찰청 안산단원경찰서 선부파출소,경기도 안산시 단원구 선부광장1로 150
251,경찰청 경기도남부경찰청 안산단원경찰서 신길파출소,경기도 안산시 단원구 삼일로 42-13
252,경찰청 경기도남부경찰청 안산단원경찰서 와동파출소,경기도 안산시 단원구 선부로 323
253,경찰청 경기도남부경찰청 안산단원경찰서 원곡파출소,경기도 안산시 단원구 원곡공원로30
254,경찰청 경기도남부경찰청 안산단원경찰서 원선파출소,경기도 안산시 단원구 원선로33
255,경찰청 경기도남부경찰청 안산단원경찰서 호수지구대,경기도 안산시 단원구 광덕2로 127
256,경찰청 경기도남부경찰청 안산상록경찰서,경기도 안산시 상록구 차돌배기로 10
257,경찰청 경기도남부경찰청 안산상록경찰서 반월파출소,경기도 안산시 상록구 건건로 47
258,경찰청 경기도남부경찰청 안산상록경찰서 본오1파출소,경기도 안산시 상록구 샘골로 11
259,경찰청 경기도남부경찰청 안산상록경찰서 본오지구대,경기도 안산시 상록구 상록수로 12
260,경찰청 경기도남부경찰청 안산상록경찰서 부곡파출소,경기도 안산시 상록구 성호로 324
261,경찰청 경기도남부경찰청 안산상록경찰서 사동지구대,경기도 안산시 상록구 석호로 175
262,경찰청 경기도남부경찰청 안산상록경찰서 성포파출소,경기도 안산시 상록구 예술광장로 47
263,경찰청 경기도남부경찰청 안산상록경찰서 수암파출소,경기도 안산시 상록구 수인로 2026
264,경찰청 경기도남부경찰청 안산상록경찰서 월피파출소,경기도 안산시 상록구 안산천서로 215
265,경찰청 경기도남부경찰청 안산상록경찰서 이동파출소,경기도 안산시 상록구 중보1길 35
266,경찰청 경기도남부경찰청 안산상록경찰서 일동파출소,경기도 안산시 상록구 호동로 118
267,경찰청 경기도남부경찰청 안산상록경찰서 팔곡파출소,경기도 안산시 상록구 소학길 8
268,경찰청 경기도남부경찰청 안성경찰서,경기도 안성시 알미산로 140
269,경찰청 경기도남부경찰청 안성경찰서 공도지구대,경기도 안성시 공도읍 공도4로 4
270,경찰청 경기도남부경찰청 안성경찰서 금광파출소,경기도 안성시 금광면 금광초교길 38
271,경찰청 경기도남부경찰청 안성경찰서 내리지구대,경기도 안성시 대학6길 34
272,경찰청 경기도남부경찰청 안성경찰서 대덕파출소,경기도 안성시 대덕면 중앙로 78
273,경찰청 경기도남부경찰청 안성경찰서 보개파출소,경기도 안성시 보개면 보개원삼로 220-1
274,경찰청 경기도남부경찰청 안성경찰서 양성파출소,경기도 안성시 양성면 장터길 35
275,경찰청 경기도남부경찰청 안성경찰서 원곡파출소,경기도 안성시 원곡면 가천중앙1길 44
276,경찰청 경기도남부경찰청 안성경찰서 일죽파출소,경기도 안성시 일죽면 주래본죽로 28
277,경찰청 경기도남부경찰청 안성경찰서 죽산파출소,경기도 안성시 죽산면 죽주로 241
278,경찰청 경기도남부경찰청 안성경찰서 중앙지구대,경기도 안성시 석정1길 15
279,경찰청 경기도남부경찰청 안양동안경찰서,경기도 안양시 동안구 동안로159번길 43
280,경찰청 경기도남부경찰청 안양동안경찰서 갈산지구대,경기도 안양시 동안구 흥안대로223번길 30-1
281,경찰청 경기도남부경찰청 안양동안경찰서 범계지구대,경기도 안양시 동안구 평촌대로217번길 57
282,경찰청 경기도남부경찰청 안양동안경찰서 비산지구대,경기도 안양시 동안구 관악대로 125
283,경찰청 경기도남부경찰청 안양동안경찰서 인덕원지구대,경기도 안양시 동안구 동편로 190
284,경찰청 경기도남부경찰청 안양동안경찰서 평안지구대,경기도 안양시 동안구 관평로138번길 43
285,경찰청 경기도남부경찰청 안양동안경찰서 호계파출소,경기도 안양시 동안구 경수대로508번길 17
