"시군구명","어린이집코드","어린이집명","어린이집유형","운영현황","우편번호","상세주소","전화번호","팩스번호","홈페이지주소","보육실수","보육실 면적","놀이터수","CCTV총설치수","보육교직원수","정원","현원","시설 위도(좌표값)","시설 경도(좌표값)","통학차량운영여부","인가일자","휴지시작일자","휴지종료일자","폐지일자","데이터기준일자","제공서비스","반수-만0세","반수-만1세","반수-만2세","반수-만3세","반수-만4세","반수-만5세","반수-영아혼합(만0~2세)","반수-유아혼합(만3~5세)","반수-특수장애","반수-총계","아동수-만0세","아동수-만1세","아동수-만2세","아동수-만3세","아동수-만4세","아동수-만5세","아동수-영아혼합(만0~2세)","아동수-유아혼합(만3~5세)","아동수-특수장애","아동수-총계","근속년수-1년미만","근속년수-1년이상~2년미만","근속년수-2년이상~4년미만","근속년수-4년이상~6년미만","근속년수-6년이상","교직원현황-원장","교직원현황-보육교사","교직원현황-특수교사","교직원현황-치료교사","교직원현황-영양사","교직원현황-간호사","교직원현황-간호조무사","교직원현황-조리원","교직원현황-사무직원","교직원현황-총계","데이터수집일"
"양천구","11470000634","나연어린이집","가정","정상","08012","서울특별시 양천구 목동서로 280 804동 104호","02-2605-7596","","","3","37","0","3","4","12","8","37.566470","126.977963","미운영","2022-08-08","","","","2022-10-26","야간연장","0","0","0","0","0","0","4","0","0","4","0","0","0","0","0","0","8","0","0","8","100","0","0","0","0","1","3","0","0","0","0","0","0","0","4","2022-10-26 22:03:56.0"
"송파구","11710000020","돌마리어린이집","국공립","정상","05686","서울특별시 송파구 백제고분로40길 13-16 돌마리어린이집 2층 (석촌동)","02-3431-8535","02-413-5783","http://cafe.daum.net/dolmarichild","5","363","1","26","14","79","69","37.50354405","127.1074342","미운영","2022-07-29","","","","2022-10-26","야간연장","0","2","2","1","1","1","0","0","0","7","0","10","14","14","14","17","0","0","0","69","27","18","9","9","36","1","11","0","0","0","0","0","1","0","14","2022-10-26 22:05:26.0"
"관악구","11620000569","구립뉴포레어린이집","국공립","정상","08700","서울특별시 관악구 조원로 25 1층 상가동","02-6389-3700","02-6389-3701","","6","663","1","28","10","88","29","37.483652098931984","126.90455055846746","미운영","2022-07-13","","","","2022-10-26","일반","2","2","2","0","0","0","0","0","0","6","6","10","13","0","0","0","0","0","0","29","100","0","0","0","0","1","7","0","0","0","0","0","1","0","10","2022-10-26 22:04:55.0"
"구로구","11530000647","디지털꿈터어린이집","국공립","정상","08381","서울특별시 구로구 디지털로27길 36 1층 108호","02-838-5653","02-839-5653","","4","298","0","15","9","49","20","37.48402245098858","126.89252839930873","","2022-07-06","","","","2022-10-26","장애아통합야간연장","0","2","1","0","0","0","1","0","0","4","0","10","7","0","0","0","3","0","0","20","100","0","0","0","0","1","6","0","0","0","0","0","1","0","9","2022-10-26 22:04:16.0"
"용산구","11170000213","원효루미니어린이집","국공립","정상","04314","서울특별시 용산구 원효로97길 15 1층","02-713-4777","","","4","91","0","13","10","32","21","37.54145907380427","126.96938101184236","미운영","2022-07-01","","","","2022-10-26","일반","4","2","0","0","0","0","0","0","0","6","12","9","0","0","0","0","0","0","0","21","100","0","0","0","0","1","7","0","0","0","0","0","1","0","10","2022-10-26 22:01:55.0"
"동작구","11590000462","구립신대방누리어린이집","국공립","정상","07074","서울특별시 동작구 신대방1다길 19 1층","010-5658-1031","","","4","135","0","0","1","0","0","37.566470","126.977963","","2022-07-01","","","","2022-10-26","일반","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","0","0","0","0","0","0","0","0","1","2022-10-26 09:19:45.0"
"영등포구","11560000496","신길더샵해늘어린이집","국공립","정상","07361","서울특별시 영등포구 가마산로79길 37 관리동","02-6205-0707","","","4","127","0","0","11","45","35","37.566470","126.977963","","2022-07-01","","","","2022-10-26","야간연장","2","2","2","1","0","0","0","0","0","7","6","10","14","5","0","0","0","0","0","35","100","0","0","0","0","1","8","0","0","0","0","0","1","0","11","2022-10-26 22:04:35.0"
"은평구","11380000687","구립 북한산힐스솔숲어린이집","국공립","정상","03366","서울특별시 은평구 불광로2길 33 북한산힐스테이트1차아파트 단지 내","02-357-5778","02-357-5779","","3","69","0","9","5","23","6","37.61299418171425","126.93699318098555","미운영","2022-06-30","","","","2022-10-26","야간연장","1","1","0","0","0","0","0","0","0","2","3","3","0","0","0","0","0","0","0","6","100","0","0","0","0","1","3","0","0","0","0","0","1","0","5","2022-10-26 22:03:25.0"
"양천구","11470000633","토리좋은세상어린이집","직장","정상","08017","서울특별시 양천구 신목로5길 5 개진빌딩 1층","02-6734-6000","","","3","60","0","8","6","22","8","37.566470","126.977963","미운영","2022-06-22","","","","2022-10-26","일반","2","0","0","0","0","0","1","0","0","3","4","0","0","0","0","0","4","0","0","8","100","0","0","0","0","1","4","0","0","0","0","0","1","0","6","2022-10-26 22:03:56.0"
"강서구","11500000749","청정원 마곡 어린이집","직장","정상","07616","서울특별시 강서구 초원로16길 12","02-2664-1613","","https://www.puruni.com/chungjungonemagok","4","170","0","0","6","49","9","37.566949326128544","126.8150605330501","","2022-06-14","","","","2022-10-26","일반","0","1","2","0","0","0","0","1","0","4","0","2","5","0","0","0","0","2","0","9","100","0","0","0","0","1","4","0","0","0","0","0","1","0","6","2022-10-26 22:04:07.0"
"양천구","11470000631","구립 다온어린이집","국공립","정상","08076","서울특별시 양천구 중앙로29길 11 호반써밋목동아파트","02-2088-7093","02-2088-7865","","3","80","0","11","7","30","18","37.516431393652304","126.8526402416749","미운영","2022-06-01","","","","2022-10-26","일반","1","2","0","0","0","0","1","0","0","4","3","10","0","0","0","0","5","0","0","18","100","0","0","0","0","1","5","0","0","0","0","0","1","0","7","2022-10-26 22:03:55.0"
"마포구","11440000480","모아어린이집","민간","정상","03945","서울특별시 마포구 월드컵북로30길 9-22 110동 1층 2호","02-309-0706","02-309-0705","","4","89","0","5","5","30","9","37.569491500313845","126.90861800522977","미운영","2022-05-18","","","","2022-10-26","일반","3","0","0","0","0","0","0","0","0","3","9","0","0","0","0","0","0","0","0","9","100","0","0","0","0","1","4","0","0","0","0","0","0","0","5","2022-10-26 22:03:45.0"
"은평구","11380000686","구립 마루어린이집","국공립","정상","03475","서울특별시 은평구 백련산로4길 17-7","02-388-9979","","","6","185","1","16","17","64","51","37.59514978867848","126.92495169916518","미운영","2022-05-03","","","","2022-10-26","일반","2","3","3","1","0","0","3","1","0","13","6","10","13","6","0","0","9","7","0","51","100","0","0","0","0","1","15","0","0","0","0","0","1","0","17","2022-10-26 22:03:25.0"
"마포구","11440000479","현대홈타운어린이집","국공립","정상","04180","서울특별시 마포구 새창로8길 72 현대홈타운 204-101","02-704-1002","02-714-1002","","3","67","1","9","8","20","16","37.56668894540141","126.97806370753913","미운영","2022-05-02","","","","2022-10-26","일반","5","1","0","0","0","0","0","0","0","6","11","5","0","0","0","0","0","0","0","16","100","0","0","0","0","1","5","0","0","0","0","0","1","0","8","2022-10-26 22:03:46.0"
"중랑구","11260000488","행복어린이집","국공립","정상","02057","서울특별시 중랑구 양원역로 92 (망우동)","02-2208-1891","02-2208-1892","","5","260","1","11","18","74","72","37.60916279874149","127.10675103372358","미운영","2022-05-01","","","","2022-10-26","일반","5","2","2","1","1","0","0","0","0","11","15","10","14","15","18","0","0","0","0","72","100","0","0","0","0","1","15","0","0","0","0","0","1","0","18","2022-10-26 22:02:35.0"
"도봉구","11320000556","도봉산탐험대 숲어린이집","협동","정상","01362","서울특별시 도봉구 시루봉로 107 29동 105호","02-3493-2440","","","2","71","0","3","4","15","12","37.65947622069994","127.02702946419218","미운영","2022-04-28","","","","2022-10-26","장애아통합","0","0","0","0","0","0","1","2","1","4","0","0","0","0","0","0","5","4","3","12","100","0","0","0","0","1","2","0","0","0","0","0","1","0","4","2022-10-26 22:03:05.0"
"양천구","11470000632","목동깨비장난감도서관공동육아방","국공립","정상","07950","서울특별시 양천구 목동중앙북로2길 8 3층","02-2646-7790","","","0","493","0","0","0","0","0","","","","2022-04-27","","","","2022-10-26","시간제보육","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","2022-10-26 22:03:56.0"
"동작구","11590000461","포레힐즈어린이집","민간","정상","06994","서울특별시 동작구 동작대로45길 10 이수스위첸포레힐즈아파트 단지 내","02-537-2001","","","3","96","0","8","10","36","23","37.497871139007","126.98198533481478","미운영","2022-04-22","","","","2022-10-26","일반","4","1","0","0","0","0","2","0","0","7","11","5","0","0","0","0","7","0","0","23","100","0","0","0","0","1","8","0","0","0","0","0","0","0","10","2022-10-26 09:19:45.0"
"중랑구","11260000490","망우자람공동육아방","국공립","정상","02173","서울특별시 중랑구 용마산로 461","02-433-1123","","","0","69","0","0","0","0","0","","","","2022-04-19","","","","2022-10-26","시간제보육","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","2022-10-26 22:02:35.0"
"강서구","11500000748","등촌제일어린이집","가정","정상","07570","서울특별시 강서구 공항대로53가길 50 1층","02-6338-6046","02-6338-6046","","4","55","0","12","5","18","16","37.555529149561124","126.85909339229742","미운영","2022-04-08","","","","2022-10-26","일반","2","2","1","0","0","0","0","0","0","5","6","10","0","0","0","0","0","0","0","16","100","0","0","0","0","1","3","0","0","0","0","0","1","0","5","2022-10-26 22:04:06.0"
"은평구","11380000685","구립 DMC센트럴자이나무어린이집","국공립","정상","03506","서울특별시 은평구 수색로 200 DMC센트럴자이3블럭 단지 내","02-308-7401","02-308-7402","","6","185","1","17","12","68","68","37.57936913502394","126.90356245047972","미운영","2022-04-08","","","","2022-10-26","장애아통합야간연장","0","2","2","1","1","1","0","0","0","7","0","10","13","15","14","16","0","0","0","68","100","0","0","0","0","1","10","0","0","0","0","0","1","0","12","2022-10-26 22:03:25.0"
"은평구","11380000684","구립 DMC센트럴자이새봄어린이집","국공립","정상","03506","서울특별시 은평구 수색로 200 DMC센트럴자이 2블럭 단지 내","02-6218-6667","02-6218-6668","","3","117","0","8","12","36","35","37.57872149169512","126.89944815559629","미운영","2022-04-08","","","","2022-10-26","야간연장","2","3","2","0","0","0","0","0","0","7","6","15","14","0","0","0","0","0","0","35","100","0","0","0","0","1","10","0","0","0","0","0","1","0","12","2022-10-26 22:03:25.0"
"성북구","11290000652","리슈빌어린이집","국공립","정상","02851","서울특별시 성북구 보문로26길 17","02-911-6227","","","4","110","0","11","7","41","23","37.566470","126.977963","미운영","2022-03-30","","","","2022-10-26","야간연장","2","2","1","0","0","0","0","0","0","5","6","10","7","0","0","0","0","0","0","23","100","0","0","0","0","1","5","0","0","0","0","0","1","0","7","2022-10-26 22:02:46.0"
"은평구","11380000683","구립 가람별어린이집","국공립","정상","03301","서울특별시 은평구 진관3로 77 921동(진관동 은평뉴타운 구파발)","02-356-7111","070-7392-0942","","4","85","1","10","11","32","29","37.566470","126.977963","미운영","2022-03-28","","","","2022-10-26","야간연장","2","1","1","0","0","0","2","1","0","7","4","4","3","0","0","0","6","12","0","29","100","0","0","0","0","1","9","0","0","0","0","0","1","0","11","2022-10-26 22:03:25.0"
"서대문구","11410000376","새빛어린이집","국공립","정상","03626","서울특별시 서대문구 세무서8길 30 새빛어린이집","02-396-2022","02-396-2023","","9","351","1","28","20","96","68","37.588749393943054","126.94802463340747","미운영","2022-03-28","","","","2022-10-26","일반","5","4","3","1","0","0","0","0","0","13","15","20","20","13","0","0","0","0","0","68","100","0","0","0","0","1","17","0","0","0","0","0","2","0","20","2022-10-26 22:03:35.0"
"강서구","11500000747","홈앤쇼핑 어린이집","직장","정상","07807","서울특별시 강서구 공항대로 150 홈앤쇼핑 3층","02-2662-0720","","","3","109","0","20","7","30","10","37.566470","126.977963","미운영","2022-03-15","","","","2022-10-26","일반","0","2","2","0","0","0","0","0","0","4","0","6","4","0","0","0","0","0","0","10","100","0","0","0","0","1","5","0","0","0","0","0","1","0","7","2022-10-26 22:04:07.0"
"성북구","11290000651","101경비단 어린이집","직장","정상","02812","서울특별시 성북구 정릉로10라길 18-5","02-911-2101","02-909-4101","https://www.puruni.com/smpa101","10","399","1","32","13","100","18","37.60555981790512","126.9994337538099","미운영","2022-03-07","","","","2022-10-26","일반","3","2","2","0","1","1","0","0","0","9","5","5","5","0","2","1","0","0","0","18","100","0","0","0","0","1","9","0","0","0","0","0","1","1","13","2022-10-26 22:02:45.0"
"마포구","11440000477","IBK참!좋은(마포)어린이집","직장","정상","04166","서울특별시 마포구 큰우물로 64 1층","02-2078-2160","","","4","209","0","19","9","49","17","37.566470","126.977963","미운영","2022-03-01","","","","2022-10-26","일반","0","3","3","0","0","0","0","0","0","6","0","10","7","0","0","0","0","0","0","17","100","0","0","0","0","1","6","0","0","0","0","0","2","0","9","2022-10-26 22:03:45.0"
"서대문구","11410000377","현대아이사랑어린이집","가정","정상","03638","서울특별시 서대문구 통일로39가길 57 107동 108호","02-394-7701","050-4430-7147","","3","54","0","4","6","18","10","37.58916519374019","126.94128183248672","미운영","2022-03-01","","","","2022-10-26","야간연장","1","1","1","0","0","0","2","0","0","5","0","0","5","0","0","0","5","0","0","10","100","0","0","0","0","1","4","0","0","0","0","0","0","0","6","2022-10-26 22:03:35.0"
"중랑구","11260000476","금호어울림어린이집","국공립","정상","02057","서울특별시 중랑구 양원역로10길 75 금호어울림 관리동 (망우동)","02-434-0678","02-434-0679","","4","247","1","8","13","45","43","37.566470","126.977963","미운영","2022-03-01","","","","2022-10-26","일반","3","2","2","1","0","0","0","0","0","8","9","10","14","10","0","0","0","0","0","43","100","0","0","0","0","1","10","0","0","0","0","0","1","0","13","2022-10-26 22:02:35.0"
"중랑구","11260000475","엘스타시온어린이집","국공립","정상","02057","서울특별시 중랑구 양원역로10길 47 엘스타시온 관리동 (망우본동)","02-433-9702","","","5","381","1","15","16","70","70","37.566470","126.977963","미운영","2022-03-01","","","","2022-10-26","일반","2","3","2","1","0","0","0","1","0","9","6","15","14","15","0","0","0","20","0","70","100","0","0","0","0","1","13","0","0","0","0","0","2","0","16","2022-10-26 22:02:35.0"
"종로구","11110000184","연동어린이집","국공립","정상","03128","서울특별시 종로구 대학로3길 9 연지동","02-3673-2866","","","4","112","1","10","13","41","33","37.57392371531399","127.00140652631974","미운영","2022-03-01","","","","2022-10-26","야간연장","2","2","2","1","0","0","0","0","0","7","6","10","10","7","0","0","0","0","0","33","100","0","0","0","0","1","10","0","0","0","0","0","1","0","13","2022-10-26 22:01:35.0"
"서대문구","11410000378","참사랑어린이집","가정","정상","03769","서울특별시 서대문구 이화여대8길 62 두산아파트 102동 106호","02-6356-6767","010-4226-2748","","3","47","0","5","6","15","15","37.55932036871453","126.94997054366745","미운영","2022-03-01","","","","2022-10-26","야간연장","1","1","1","0","0","0","1","0","0","4","3","5","7","0","0","0","0","0","0","15","100","0","0","0","0","1","4","0","0","0","0","0","0","0","6","2022-10-26 22:03:35.0"
"종로구","11110000183","감사원어린이집","직장","정상","03053","서울특별시 종로구 북촌로 127","02-730-9390","","","4","175","0","26","7","49","10","37.566470","126.977963","미운영","2022-03-01","","","","2022-10-26","일반","2","1","0","0","0","0","0","1","0","4","4","4","0","0","0","0","0","2","0","10","100","0","0","0","0","1","5","0","0","0","0","0","1","0","7","2022-10-26 22:01:35.0"
"동대문구","11230000504","연세어린이집","국공립","정상","02527","서울특별시 동대문구 장한로27나길 65","02-2245-6390","02-2245-6390","키즈노트","7","210","1","16","15","79","72","37.566470","126.977963","미운영","2022-03-01","","","","2022-06-15","야간연장","1","2","2","1","1","1","0","0","0","8","3","9","14","15","12","19","0","0","0","72","100","0","0","0","0","1","12","0","0","0","0","0","2","0","15","2022-06-15 09:29:56.0"
"관악구","11620000565","구립햇님데이케어어린이집","국공립","정상","08725","서울특별시 관악구 성현로 80 110동 104호(봉천동 관악드림타운)","02-886-6985","","","4","83","0","5","9","20","17","37.48892019949905","126.95183659288435","미운영","2022-03-01","","","","2022-10-26","야간연장시간제보육","1","1","2","0","0","0","1","0","0","5","2","3","12","0","0","0","0","0","0","17","100","0","0","0","0","1","7","0","0","0","0","0","1","0","9","2022-10-26 22:04:55.0"
"노원구","11350001057","태릉해링턴어린이집","국공립","정상","01817","서울특별시 노원구 공릉로34길 86 공릉동 태릉해링턴플레이스아파트 내","02-977-5003","02-977-5003","","6","231","0","16","11","76","55","37.62596922599265","127.08345917647446","미운영","2022-03-01","","","","2022-10-26","일반","0","2","2","1","1","1","0","0","0","7","0","10","14","12","7","12","0","0","0","55","100","0","0","0","0","1","9","0","0","0","0","0","1","0","11","2022-10-26 22:03:17.0"
"강동구","11740000542","구립하랑어린이집","국공립","정상","05416","서울특별시 강동구 고덕로98길 161 강동리엔파크13단지","02-3013-7725","02-3103-7726","","5","197","0","19","10","66","61","37.566470","126.977963","미운영","2022-03-01","","","","2022-10-26","장애아통합","2","2","2","1","0","0","0","1","0","8","6","10","14","14","0","0","0","17","0","61","100","0","0","0","0","1","8","0","0","0","0","0","1","0","10","2022-10-26 22:05:35.0"
"마포구","11440000478","삼성해뜰어린이집","국공립","정상","04131","서울특별시 마포구 마포대로 173-15 공덕5차래미안 관리동","02-702-7955","","","7","160","1","9","16","60","57","37.55067749067492","126.95255792369752","미운영","2022-03-01","","","","2022-10-26","일반","2","5","4","0","0","0","1","0","0","12","6","24","27","0","0","0","0","0","0","57","100","0","0","0","0","1","13","0","0","0","0","0","1","0","16","2022-10-26 22:03:45.0"
"서초구","11650000460","서초구립 서초교대e편한세상어린이집","국공립","정상","06603","서울특별시 서초구 서초중앙로24길 33 교대e편한세상아파트 관리동","02-591-1011","02-592-1101","","3","91","0","11","12","33","33","37.49646122679468","127.01691175474131","미운영","2022-03-01","","","","2022-10-26","일반","3","2","2","0","0","0","0","0","0","7","9","10","14","0","0","0","0","0","0","33","100","0","0","0","0","1","9","0","0","0","0","0","0","0","12","2022-10-26 22:05:05.0"
"강동구","11740000543","구립강동한별어린이집","국공립","정상","05304","서울특별시 강동구 천중로53길 19 1~4층","02-2041-7890","02-472-7572","","5","227","1","16","13","67","44","37.541652983464246","127.14528211822028","미운영","2022-02-28","","","","2022-10-26","장애아통합야간연장시간제보육","0","2","1","1","0","0","0","1","2","7","0","10","7","10","0","0","0","11","6","44","100","0","0","0","0","1","10","0","0","0","0","0","1","0","13","2022-10-26 22:05:35.0"
"금천구","11545000348","서울금천경찰서어린이집","직장","정상","08611","서울특별시 금천구 시흥대로73길 50","02-806-7234","","https://hansol-geumcheonpolice.kidsnote.ac/home/main","6","339","2","27","16","80","35","37.45656131976247","126.89692196228132","미운영","2022-02-28","","","","2022-10-26","일반","3","2","2","0","0","0","0","1","0","8","8","10","10","0","0","0","0","7","0","35","100","0","0","0","0","1","12","0","0","0","0","0","1","1","16","2022-10-26 22:04:25.0"
"은평구","11380000682","구립 새솔어린이집","국공립","정상","03442","서울특별시 은평구 증산로17가길 14","02-375-3354","02-375-3354","","5","139","0","13","9","49","38","37.566470","126.977963","미운영","2022-02-28","","","","2022-10-26","야간연장","1","1","1","1","0","0","1","1","0","6","3","4","6","9","0","0","0","16","0","38","100","0","0","0","0","1","7","0","0","0","0","0","1","0","9","2022-10-26 22:03:25.0"
"중랑구","11260000477","중랑경찰서어린이집","직장","정상","02055","서울특별시 중랑구 신내역로3길 40-10","02-3423-3330","02-3423-331","http://www.puruni.com/smpajn","10","312","1","30","14","100","23","37.618109303971686","127.10458057846017","미운영","2022-02-24","","","","2022-10-26","일반","3","2","1","1","1","0","0","0","0","8","6","8","3","2","4","0","0","0","0","23","100","0","0","0","0","1","10","0","0","0","0","0","1","1","14","2022-10-26 22:02:35.0"
"영등포구","11560000487","코스콤푸르니어린이집","직장","정상","07330","서울특별시 영등포구 여의나루로4길 21 2층","02-761-9881","02-761-9882","www.puruni.com","7","322","3","18","14","80","28","37.566470","126.977963","미운영","2022-02-23","","","","2022-10-26","일반","0","3","2","1","1","1","0","0","0","8","0","8","7","8","3","2","0","0","0","28","100","0","0","0","0","1","10","0","0","0","0","0","2","0","14","2022-10-26 22:04:36.0"
"서초구","11650000463","무지개어린이집","직장","정상","06796","서울특별시 서초구 신흥말길 79-3 103동 1층(내곡동 무지개아파트)","02-2226-9377","","","4","76","0","17","6","28","10","37.566470","126.977963","미운영","2022-02-23","","","","2022-10-26","일반","1","1","1","0","0","0","0","0","0","3","2","4","4","0","0","0","0","0","0","10","100","0","0","0","0","1","4","0","0","0","0","0","1","0","6","2022-10-26 22:05:05.0"
"강서구","11500000746","DYPNF 직장어린이집","직장","정상","07792","서울특별시 강서구 마곡중앙8로7길 39 2층","02-2106-8210","","","3","96","0","13","4","32","6","37.56437367029218","126.83892949223632","미운영","2022-02-22","","","","2022-10-26","일반","1","0","0","0","0","0","1","1","0","3","3","0","0","0","0","0","3","0","0","6","100","0","0","0","0","1","2","0","0","0","0","0","1","0","4","2022-10-26 22:04:06.0"
"광진구","11215000362","구립 광진그랜드파크어린이집","국공립","정상","05022","서울특별시 광진구 광나루로 458 어린이집","02-469-1956","02-497-0681","","5","176","1","15","15","57","54","37.54370562061723","127.08123440330459","미운영","2022-02-01","","","","2022-10-26","야간연장","3","3","3","1","0","0","0","0","0","10","9","15","19","11","0","0","0","0","0","54","100","0","0","0","0","1","12","0","0","0","0","0","1","0","15","2022-10-26 22:02:15.0"
"송파구","11710000820","위례두리숲어린이집","국공립","정상","05847","서울특별시 송파구 위례송파로 80 호반써밋송파2차아파트","02-408-8277","02-409-8277","","6","471","1","11","13","84","61","37.48411376638958","127.1425192412142","미운영","2022-01-28","","","","2022-10-26","장애아통합야간연장","2","2","2","1","1","1","0","0","1","10","6","9","11","15","8","9","0","0","3","61","100","0","0","0","0","1","11","0","0","0","0","0","1","0","13","2022-10-26 22:05:27.0"
"송파구","11710000819","위례하나숲어린이집","국공립","정상","05791","서울특별시 송파구 위례송파로 40 호반써밋송파1차아파트","02-407-9931","","","5","357","1","9","12","56","44","37.566470","126.977963","미운영","2022-01-28","","","","2022-10-26","장애아통합야간연장","2","1","1","1","0","0","0","1","1","7","6","5","7","15","0","0","0","8","3","44","100","0","0","0","0","1","10","0","0","0","0","0","1","0","12","2022-10-26 22:05:27.0"
"용산구","11170000153","서머힐어린이집","가정","정상","04392","서울특별시 용산구 장문로 27 상가동 102호 (이태원동 청화아파트)","02-6241-0081","070-4795-0081","http://cafe.daum.net/summerhillyongsan","3","70","0","4","8","20","20","37.52910835195778","126.99367357174061","미운영","2022-01-26","","","","2022-10-26","야간연장","2","2","0","0","0","0","2","0","0","6","6","6","0","0","0","0","8","0","0","20","57","0","29","0","14","1","6","0","0","0","0","0","0","0","8","2022-10-26 22:01:54.0"
