연번,지방청,경찰서,관서명,급지,구분,경찰_전화번호,경찰_주소
86,서울청,서울성동,한양,1,지구대,02-2292-5975,서울특별시 성동구  사근동길 5
87,서울청,서울성동,성수,1,지구대,02-463-0112,서울특별시 성동구  광나루로2길 35 성수지구대
88,서울청,서울성동,서울숲,1,지구대,02-464-0113,서울특별시 성동구  성덕정길 77-2
89,서울청,서울성동,왕십리,1,파출소,02-2295-1241,서울특별시 성동구  마장로 205
90,서울청,서울성동,행당,1,파출소,02-2292-1812,서울특별시 성동구  행당로 89
91,서울청,서울성동,옥수,1,파출소,02-2297-5898,서울특별시 성동구  독서당로 211
92,서울청,서울성동,금호,1,파출소,02-2231-6253,서울특별시 성동구  금호로11길 2-1
93,서울청,서울성동,응봉,1,파출소,02-2293-7480,서울특별시 성동구  독서당로 373 응봉파출소
94,서울청,서울성동,용답,1,파출소,02-2245-0189,서울특별시 성동구  용답중앙길 49 용답파출소
95,서울청,서울동작,사당,1,지구대,02-811-9853,서울특별시 동작구  동작대로9길 35
96,서울청,서울동작,노량진,1,지구대,02-811-9813,서울특별시 동작구  등용로12나길 2
97,서울청,서울동작,상도,1,지구대,02-811-9833,서울특별시 동작구  등용로 24 
98,서울청,서울동작,남성,1,지구대,02-811-9843,서울특별시 동작구 사당로17나길 4
99,서울청,서울동작,흑석,1,지구대,02-811-9823,서울특별시 동작구 노량진로 248
100,서울청,서울동작,신대방,1,지구대,02-811-9863,서울특별시 동작구 신대방1다길 24
101,서울청,서울동작,대방,1,파출소,02-811-9873,서울특별시 동작구 여의대방로 130
102,서울청,서울광진,광나루,1,지구대,02-2285-7820,서울특별시 광진구 아차산로 567
103,서울청,서울광진,화양,1,지구대,02-2285-7810,서울특별시 광진구  능동로17길 39 화양지구대
104,서울청,서울광진,중곡1,1,파출소,02-2285-7830,서울특별시 광진구 능동로 385
105,서울청,서울광진,중곡2,1,파출소,02-2285-7840,서울특별시 광진구  능동로 346
106,서울청,서울광진,중곡3,1,파출소,02-2285-7850,서울특별시 광진구 동일로76가길 28
107,서울청,서울광진,중곡4,1,파출소,02-2285-7860,서울특별시 광진구  용마산로24길 7
108,서울청,서울광진,자양,1,파출소,02-2285-7870,서울특별시 광진구 뚝섬로36길 9
109,서울청,서울광진,자양1,1,파출소,02-2285-7880,서울특별시 광진구  자양번영로 80
110,서울청,서울광진,자양4,1,파출소,02-2285-7890,서울특별시 광진구  뚝섬로22가길 43번지 자양4파출소
111,서울청,서울광진,구의,1,파출소,02-2285-7800,서울특별시 광진구 광나루로 43길 26 구의파출소
112,서울청,서울서부,응암,1,지구대,02-335-9800,서울특별시 은평구  은평로 171
113,서울청,서울서부,신사,1,지구대,02-335-9810,서울특별시 은평구  은평터널로5길 6호
114,서울청,서울서부,녹번,1,파출소,02-335-9820,서울특별시 은평구  진흥로 진흥로200
115,서울청,서울서부,응암3,1,파출소,02-335-9830,서울특별시 은평구  응암로 208 
116,서울청,서울서부,역촌,1,파출소,02-350-1934,서울특별시 은평구  연서로 61
117,서울청,서울강북,미아,1,지구대,02-944-4112,서울특별시 강북구 도봉로 127
118,서울청,서울강북,솔샘,1,지구대,02-944-4122-7,서울특별시 강북구 오현로 4
119,서울청,서울강북,수유1,1,파출소,02-944-4132,서울특별시 강북구  삼양로 305
120,서울청,서울강북,수유2,1,파출소,02-944-4141,서울특별시 강북구 삼각산로 115
121,서울청,서울강북,수유3,1,파출소,02-944-4153,서울특별시 강북구  한천로150길 76
122,서울청,서울강북,인수,1,파출소,02-944-4163,서울특별시 강북구 인수봉로 227
123,서울청,서울강북,번동,1,파출소,02-944-4173,서울특별시 강북구  한천로 969
124,서울청,서울강북,번3,1,파출소,02-944-4183,서울특별시 강북구  월계로 227
125,서울청,서울강북,삼양,1,파출소,02-944-4102,서울특별시 강북구  삼양로 239-1
126,서울청,서울금천,금천,1,파출소,02-802-0113,서울특별시 금천구 시흥대로57길 45
127,서울청,서울금천,문성,1,지구대,02-855-0112,서울특별시 금천구  독산로 76길 20
128,서울청,서울금천,백산,1,지구대,02-805-0112,서울특별시 금천구  탑골로2길 37 백산지구대
129,서울청,서울금천,가산,1,파출소,02-864-0113,서울특별시 금천구  벚꽃로56길 174
130,서울청,서울금천,독산,1,파출소,02-807-0113,서울특별시 금천구  벚꽃로10길 89
131,서울청,서울중랑,망우,1,지구대,02-2171-0300,서울특별시 중랑구  망우로 391
132,서울청,서울중랑,중화,1,지구대,02-2171-0303,서울특별시 중랑구  중랑천로 146
133,서울청,서울중랑,용마,1,지구대,02-2171-0301,서울특별시 중랑구 동일로 566
134,서울청,서울중랑,봉화,1,지구대,02-2171-0302,서울특별시 중랑구  신내로 177
135,서울청,서울중랑,면목본동,1,파출소,02-2171-0306,서울특별시 중랑구  상봉로 27
136,서울청,서울중랑,면목삼팔,1,파출소,02-2171-0307,서울특별시 중랑구  사가정로41길 45 (면목3.8파출소)
137,서울청,서울중랑,상봉,1,파출소,02-2171-0304,서울특별시 중랑구  중랑천로 69 상봉파출소
138,서울청,서울중랑,먹골,1,파출소,02-2171-0305,서울특별시 중랑구 숙선옹주로7길 1
139,서울청,서울강남,역삼,1,지구대,02-562-1623,서울특별시 강남구 언주로108길 20
140,서울청,서울강남,논현1,1,파출소,02-544-5555,서울특별시 강남구 학동로 169
141,서울청,서울강남,논현2,1,파출소,02-543-0112,서울특별시 강남구 학동로 227
142,서울청,서울강남,삼성1,1,파출소,02-511-5049,서울특별시 강남구 영동대로112길 4
143,서울청,서울강남,삼성2,1,파출소,02-562-1628,서울특별시 강남구 선릉로 624
144,서울청,서울강남,청담,1,파출소,02-512-0112,서울특별시 강남구 학동로95길 19
145,서울청,서울강남,신사,1,파출소,02-511-5087,서울특별시 강남구 도산대로 143
146,서울청,서울강남,압구정,1,파출소,02-542-1103,서울특별시 강남구 압구정로 311
147,서울청,서울관악,당곡,1,지구대,02-870-0810,서울특별시 관악구  남부순환로191길 12 당곡지구대
148,서울청,서울관악,낙성대,1,지구대,02-870-0820,"서울특별시 관악구  봉천로 540, 낙성대지구대"
149,서울청,서울관악,신림,1,지구대,02-870-0830,서울특별시 관악구  남부순환로188길 12 신림지구대
150,서울청,서울관악,관악산,1,지구대,02-870-0840,서울특별시 관악구  신림로 178 관악산지구대
151,서울청,서울관악,구암,1,지구대,02-870-0850,서울특별시 관악구 은천로 93
152,서울청,서울관악,남현,1,파출소,02-870-0890,서울특별시 관악구  남현1가길 29 남현파출소
153,서울청,서울관악,난우,1,파출소,02-870-0860,서울특별시 관악구  난곡로64 난우파출소
154,서울청,서울관악,미성,1,파출소,02-870-0870,서울특별시 관악구  난곡로64가길 31
155,서울청,서울관악,신사,1,지구대,02-870-0880,서울특별시 관악구  신사로 106
156,서울청,서울강서,화곡,1,지구대,02-2604-0087,서울특별시 강서구  화곡로 310
157,서울청,서울강서,공항,1,지구대,02-2662-0372,서울특별시 강서구  방화동로 5 공항지구대
158,서울청,서울강서,까치산,1,지구대,02-2604-5053,서울특별시 강서구  강서로7길 39
159,서울청,서울강서,가양,1,지구대,02-3665-9112,서울특별시 강서구 화곡로65길 63
160,서울청,서울강서,곰달래,1,지구대,02-2643-7994,서울특별시 강서구  곰달래로59길 12
161,서울청,서울강서,방화3,1,파출소,02-2663-1121,서울특별시 강서구  금낭화로26길 16
162,서울청,서울강서,염창,1,지구대,02-3665-0660,서울특별시 강서구  공항대로59다길 80
163,서울청,서울강서,등촌2,1,파출소,02-2651-0330,서울특별시 강서구  등촌로 167 등촌2파출소
164,서울청,서울강서,발산,1,지구대,02-2662-0330,서울특별시 강서구  수명로2길 46 발산파출소
165,서울청,서울강서,화곡3,1,파출소,02-2604-2133,서울특별시 강서구  강서로45다길 71
166,서울청,서울강서,마곡,1,지구대,,
167,서울청,서울강동,천호,1,지구대,02-3449-7804,"서울특별시 강동구  구천면로 141, 천호지구대"
168,서울청,서울강동,길동,1,지구대,02-3449-7814,서울특별시 강동구 양재대로96길 35
169,서울청,서울강동,성내,1,지구대,02-3449-7834,서울특별시 강동구  성내로 57 성내지구대 
170,서울청,서울강동,암사,1,지구대,02-3449-7824,서울특별시 강동구  고덕로 137 암사지구대
171,서울청,서울강동,둔촌,1,파출소,02-3449-7854,서울특별시 강동구  진황도로 239 둔촌파출소
172,서울청,서울강동,명일,1,파출소,02-3449-7844,서울특별시 강동구 동남로 895 명일파출소
173,서울청,서울강동,강일,1,파출소,02-3449-7864,서울특별시 강동구  아리수로91길 20
174,서울청,서울강동,고덕,1,파출소,02-3449-7874,서울특별시 강동구  고덕로 61길61
175,서울청,서울강동,상일,1,파출소,02-3449-7894,서울특별시 강동구 고덕로 80길 7
176,서울청,서울종암,석관,1,파출소,02-3396-7663,서울특별시 성북구  화랑로32가길 20 석관파출소
177,서울청,서울종암,장위,1,지구대,02-3396-7673,서울특별시 성북구 장위로174 장위지구대
178,서울청,서울종암,월곡,1,지구대,02-3396-7684,서울특별시 성북구  종암로32길 5 월곡지구대
179,서울청,서울종암,종암,1,파출소,02-3396-7693,서울특별시 성북구  종암로23길 52
180,서울청,서울구로,신구로,1,지구대,02-853-0189,서울특별시 구로구 새말로 26 신구로지구대
181,서울청,서울구로,오류,1,지구대,02-840-8305,서울특별시 구로구  고척로1길 34 오류지구대
182,서울청,서울구로,구일,1,지구대,02-840-8302,서울특별시 구로구  도림로 63 구일지구대
183,서울청,서울구로,고척,1,지구대,02-2612-0112,서울특별시 구로구 중앙로 15길 30 고척지구대
184,서울청,서울구로,개봉,1,지구대,02-2612-0330,서울특별시 구로구  개봉로18길 5 개봉지구대
185,서울청,서울구로,구로3,1,파출소,02-866-0112,서울특별시 구로구  디지털로31길 86 구로3파출소
186,서울청,서울구로,가리봉,1,파출소,02-854-0112,서울특별시 구로구 남부순환로 1275 가리봉파출소
187,서울청,서울구로,천왕,1,파출소,02-840-8308,서울특별시 구로구 오리로 1102-8
188,서울청,서울서초,반포,1,지구대,02-536-8477,서울특별시 서초구 신반포로190
189,서울청,서울서초,서초2,1,파출소,02-536-8477,서울 서초구 서운로 38
190,서울청,서울서초,서초3,1,파출소,02-572-0692,서울 서초구 반포대로30길 40
191,서울청,서울서초,양재,1,파출소,02-572-0113,서울 서초구 남부순환로356길 9
192,서울청,서울서초,서초,1,파출소,02-583-6249,서울 서초구 효령로 297
193,서울청,서울서초,우면,1,파출소,02-581-1120,서울 서초구 바우뫼로 45
194,서울청,서울서초,내곡,1,파출소,02-573-5826,서울특별시 서초구 헌릉로 226
195,서울청,서울양천,목1,1,지구대,02-2648-0040,서울특별시 양천구  목동동로 373
196,서울청,서울양천,목2,1,지구대,02-2652-0112,서울특별시 양천구  등촌로 166
197,서울청,서울양천,신정1,1,지구대,02-2643-0113,서울특별시 양천구  중앙로32길 65
198,서울청,서울양천,신정2,1,지구대,02-2699-0678,서울특별시 양천구 목동로17길 5
199,서울청,서울양천,신월2,1,지구대,02-2608-0112,서울특별시 양천구 지양로 55
200,서울청,서울양천,신월1,1,파출소,02-2602-0092,서울특별시 양천구  남부순환로59길 8 
201,서울청,서울양천,신정3,1,파출소,02-2696-2305,서울특별시 양천구  중앙로 205
202,서울청,서울양천,신월5,1,파출소,02-2693-0113,서울특별시 양천구  남부순환로31길 37
203,서울청,서울송파,방이,1,지구대,02-3402-6301,서울특별시 송파구  양재대로71길 5-6
204,서울청,서울송파,잠실,1,지구대,02-3402-6302,서울특별시 송파구  올림픽로 101
205,서울청,서울송파,삼전,1,지구대,02-3402-6303,서울특별시 송파구  백제고분로 238
206,서울청,서울송파,가락,1,지구대,02-3402-6304,서울특별시 송파구  중대로 179
207,서울청,서울송파,문정,1,지구대,02-3402-6305,서울특별시 송파구 충민로2길 18
208,서울청,서울송파,마천,1,파출소,02-3402-6306,서울특별시 송파구  마천로 41길 8
209,서울청,서울송파,거여,1,파출소,02-3402-6307,서울특별시 송파구 새말로15길 9
210,서울청,서울송파,풍납,1,파출소,02-3402-6308,서울특별시 송파구  토성로 64
211,서울청,서울송파,오금,1,파출소,02-3402-6309,서울특별시 송파구  마천로8길 17
212,서울청,서울송파,신천,1,파출소,02-3402-6310,서울특별시 송파구  올림픽로35길 12 
213,서울청,서울송파,위례,1,파출소,02-3402-6300,서울특별시 송파구 위례순환로 369
214,서울청,서울노원,당현,1,지구대,02-2092-0301,서울특별시 노원구  노원로17길 64번지
215,서울청,서울노원,월계,1,지구대,02-2092-0302,서울특별시 노원구  월계로55길 58
216,서울청,서울노원,화랑,1,지구대,02-2092-0303,서울특별시 노원구  동일로 1034
217,서울청,서울노원,노원역,1,지구대,02-2092-0304,서울특별시 노원구 노원로431
218,서울청,서울노원,불암,1,지구대,02-2092-0305,서울특별시 노원구  한글비석로 277
219,서울청,서울노원,마들,1,지구대,02-2092-0306,서울특별시 노원구  한글비석로 489 마들지구대
220,서울청,서울노원,당고개,1,파출소,02-2092-0307,서울특별시 노원구  상계로35길 29(임시청사)
221,서울청,서울노원,상계1,1,파출소,02-2092-0308,서울특별시 노원구  동일로 1693
222,서울청,서울방배,남태령,1,지구대,02-582-8410,서울특별시 서초구  동작대로 34
223,서울청,서울방배,서래,1,파출소,02-534-0116,서울특별시 서초구  신반포로 16길 15-14
224,서울청,서울방배,이수,1,파출소,02-599-3880,서울특별시 서초구  동광로19길 38
225,서울청,서울방배,방배1,1,파출소,02-583-7694,서울특별시 서초구  효령로 31길 64
226,서울청,서울은평,불광,1,지구대,02-350-1922,서울특별시 은평구  연서로 290
227,서울청,서울은평,연신내,1,지구대,02-350-1926,서울특별시 은평구  갈현로 195
228,서울청,서울은평,진관,1,파출소,02-350-1930,서울특별시 은평구  진관3로 38 진관파출소
229,서울청,서울은평,대조,1,파출소,02-350-1938,서울특별시 은평구  통일로 737
230,서울청,서울도봉,창동,1,지구대,02-2289-9813,서울특별시 도봉구 노해로 392
231,서울청,서울도봉,신창,1,파출소,02-2289-9823,서울특별시 도봉구  도봉로104길 49-5
232,서울청,서울도봉,방학,1,파출소,02-2289-9833,서울특별시 도봉구  도봉로145길 45 방학파출소
233,서울청,서울도봉,신방학,1,파출소,02-2289-9843,서울특별시 도봉구  시루봉로5길 10
234,서울청,서울도봉,도봉1,1,파출소,02-2289-9853,서울특별시 도봉구  도봉로169길 43 도봉1파출소
235,서울청,서울도봉,도봉2,1,파출소,02-2289-9863,서울특별시 도봉구 도봉로 180나길 33
236,서울청,서울도봉,쌍문,1,파출소,02-2289-9873,서울특별시 도봉구  방학로3길 132
237,서울청,서울도봉,숭미,1,파출소,02-2289-9883,서울특별시 도봉구  노해로 139 숭미파출소
238,서울청,서울수서,도곡,1,지구대,02-568-2522,서울특별시 강남구  언주로 426
239,서울청,서울수서,대치,1,지구대,02-538-1312,서울특별시 강남구  삼성로 203
240,서울청,서울수서,수서,1,파출소,02-445-0112,서울특별시 강남구  밤고개로1길 48
241,서울청,서울수서,대왕,1,파출소,02-3411-0323,서울특별시 강남구  헌릉로 623
242,서울청,서울수서,일원,1,지구대,02-3411-0112,서울특별시 강남구  일원로3길 35 일원파출소
243,서울청,서울수서,개포,1,지구대,02-571-0112,서울특별시 강남구  개포로 261(1268)
244,부산청,부산중부,남포,1,지구대,051-245-0835,부산광역시 중구  해관로 19
245,부산청,부산중부,영주,1,파출소,051-469-5827,부산광역시 중구  동영로 77
246,부산청,부산중부,부평,1,파출소,051-245-0838,부산광역시 중구  보수대로44번길 27
247,부산청,부산중부,보수,1,파출소,051-253-7308,부산광역시 중구  흑교로 77
248,부산청,부산중부,대청,1,파출소,051-469-5828,부산광역시 중구  중구로 103-1
249,부산청,부산동래,내성,1,지구대,051-552-1054,부산광역시 동래구  동래로 109
250,부산청,부산동래,충렬,1,지구대,051-522-1042,부산광역시 동래구  반송로 207
251,부산청,부산동래,온천,1,지구대,051-555-0112,부산광역시 동래구  우장춘로 16
252,부산청,부산동래,사직,1,지구대,051-502-0112,부산광역시 동래구  중앙대로1277번길 41
253,부산청,부산동래,온천3,1,파출소,051-503-1091,부산광역시 동래구  석사북로 93
254,부산청,부산동래,낙민,1,파출소,051-531-4644,부산광역시 동래구  온천천로 359
255,부산청,부산영도,동삼,1,지구대,051-403-9129,부산광역시 영도구  태종로 618 동삼지구대
256,부산청,부산영도,영선,1,지구대,051-415-0255,부산광역시 영도구  남항시장길 328
257,부산청,부산영도,청학,1,파출소,051-415-0128,부산광역시 영도구  태종로 395
258,부산청,부산영도,대교,1,파출소,051-415-0251,부산광역시 영도구  태종로 81(대교동2가)
259,부산청,부산동부,초량,1,지구대,051-465-6223,부산광역시 동구  초량상로 65번길2
260,부산청,부산동부,수성,1,지구대,051-465-6228,부산광역시 동구  망양로 811
261,부산청,부산동부,자성대,1,파출소,051-646-1447,부산광역시 동구  자성공원로 15
262,부산청,부산동부,좌천,1,파출소,051-646-9193,부산광역시 동구  중앙대로 491-4
263,부산청,부산동부,범곡,1,파출소,051-647-6925,부산광역시 동구  범상로 10-1
264,부산청,부산진,양정,1,지구대,051-852-1113,부산광역시 부산진구  동평로 342
265,부산청,부산진,부전,1,지구대,051-805-4044,부산광역시 부산진구  부전로 185
266,부산청,부산진,서면,1,지구대,051-806-5854,부산광역시 부산진구  신암로 56
267,부산청,부산진,당감,1,지구대,051-895-7086,부산광역시 부산진구  당감로 17-1
268,부산청,부산진,성지,1,지구대,051-817-0113,부산광역시 부산진구  성지로113번길 27
269,부산청,부산진,가야,1,지구대,051-895-2931,부산광역시 부산진구  가야공원로 10
270,부산청,부산진,부암,1,지구대,051-809-2278,부산광역시 부산진구  신천대로 283
271,부산청,부산진,범천1,1,파출소,051-646-1446,부산광역시 부산진구  중앙번영로 10
272,부산청,부산진,전포,1,파출소,051-802-1961,부산광역시 부산진구  전포대로 165
273,부산청,부산진,개금,1,파출소,051-890-9194,부산광역시 부산진구 백양대로208번길 137
274,부산청,부산서부,송도,1,지구대,051-254-8261,부산광역시 서구 충무대로 84
275,부산청,부산서부,구덕,1,지구대,051-255-1276,부산광역시 서구  보수대로 258-5
276,부산청,부산서부,충무,1,지구대,051-254-7822,부산광역시 서구  구덕로118번길 13
277,부산청,부산서부,아미,1,파출소,051-256-0823,부산광역시 서구  해돋이로 267
278,부산청,부산남부,문현,1,지구대,051-610-8231,부산광역시 남구  전포대로 20번길 47
279,부산청,부산남부,용호,1,지구대,051-610-8237,부산광역시 남구  분포로 1
280,부산청,부산남부,대연,1,지구대,051-610-8260,부산광역시 남구  수영로 328
281,부산청,부산남부,광남,1,지구대,051-610-8218,부산광역시 수영구  수영로554번길 52
282,부산청,부산남부,광민,1,지구대,051-610-8289,부산광역시 수영구  광안해변로295번길 22
283,부산청,부산남부,못골,1,파출소,051-610-8299,부산광역시 남구 진남로 46번길 37
284,부산청,부산남부,우암,1,파출소,051-610-8362,부산광역시 남구  우암로 170
285,부산청,부산남부,용당,1,파출소,051-610-8227,부산광역시 남구 신선로 318
286,부산청,부산남부,감만,1,파출소,051-610-8853,부산광역시 남구 우암로86
287,부산청,부산해운대,재송,1,지구대,051-665-0151,부산광역시 해운대구 해운대로161번길 17
288,부산청,부산해운대,우동,1,지구대,051-665-0166,부산광역시 해운대구  해운대로 398
289,부산청,부산해운대,중동,1,지구대,051-665-0175,부산광역시 해운대구  좌동순환로433번길 32
290,부산청,부산해운대,좌동,1,지구대,051-665-0184,부산광역시 해운대구  좌동순환로 185
291,부산청,부산해운대,반여,1,지구대,051-665-0157,부산광역시 해운대구  선수촌로21번길 64
292,부산청,부산해운대,송정,1,파출소,051-665-0196,부산광역시 해운대구  송정중앙로8번길 65
